ID,Information_Centrality,Essentiality
33342,0.0009038464450777,1
33817,0.0009038420412929,0
31954,0.0009038317983189,1
32949,0.0009038221966433,1
32891,0.0009038209034016,0
34611,0.0009038065515506,0
33227,0.0009038051061977,0
32297,0.0009037988683984,1
31667,0.0009037931860651,0
31919,0.0009037676028074,0
35293,0.0009037413011603,1
33831,0.0009037239922787,0
36095,0.0009037151993311,0
31017,0.0009036835828245,0
36397,0.0009036649836373,0
34152,0.0009036637591192,0
36256,0.0009036586892634,1
33610,0.0009036446810993,0
34110,0.0009035770002144,1
33404,0.0009035596376664,1
31604,0.0009035401973301,0
31182,0.0009035181898859,1
35636,0.0009035174315226,0
32024,0.0009035031548914,0
33383,0.0009034813715168,0
35254,0.0009034368158281,0
32342,0.0009034196610573,0
34133,0.0009034126135283,0
32678,0.000903409820284,1
35783,0.0009033962080998,0
33453,0.0009033939731019,0
36841,0.0009033665601355,0
31387,0.0009033240241119,1
31215,0.00090331800863,0
34469,0.0009033063425234,0
33671,0.0009033059846389,1
36622,0.000903280776017,1
36866,0.0009032697883812,0
32266,0.0009032498811513,1
32363,0.0009032440655885,0
33483,0.0009032420522997,0
34449,0.0009032200710145,1
32191,0.0009031903888841,0
31859,0.0009031862910924,0
35927,0.0009031855897665,1
32897,0.0009031475328751,0
31217,0.0009031406258956,1
32026,0.0009030924783969,1
31643,0.0009030894106151,0
34664,0.0009030890750803,0
31930,0.0009030869238993,1
36861,0.0009030648023511,0
31509,0.0009030602394826,0
33895,0.0009030528842712,0
35591,0.0009030397309447,0
35024,0.0009030394800221,0
32329,0.0009030327683951,0
36231,0.0009030321803341,0
34502,0.00090303208743,1
31339,0.0009029976783452,0
36353,0.0009029961856054,1
34441,0.000902954631816,0
32454,0.0009029519218195,0
31209,0.0009029467769269,1
33681,0.0009029400944671,1
36679,0.0009029385155134,0
31195,0.0009029344430571,1
32450,0.0009029291860394,1
35305,0.000902924339187,1
35957,0.0009029075857305,1
32983,0.0009028868581924,0
33628,0.0009028784036665,0
32179,0.0009028610467341,1
113164,0.0009028565613925,0
32417,0.0009028469166165,1
33040,0.0009028444336714,0
32441,0.0009028309717964,1
34543,0.0009028166962709,0
35976,0.0009028042070885,1
33166,0.0009028041505123,0
35658,0.0009027969029884,1
33364,0.0009027944728204,1
36600,0.0009027909031492,1
36274,0.0009027816212787,1
33938,0.0009027814326493,0
34424,0.00090277075301,1
34535,0.0009027650549009,0
34241,0.0009027407081806,1
36025,0.0009027297245495,0
31575,0.0009027266823678,1
36803,0.0009027261418614,0
36931,0.0009027110853581,0
31133,0.0009027075633776,0
34942,0.0009027066033001,1
34950,0.0009026897275292,0
34464,0.0009026837449418,0
36026,0.0009026792401647,0
33739,0.0009026637351218,1
32827,0.0009026527712711,0
32420,0.0009026510808904,0
35376,0.0009026454406885,1
32691,0.0009026449406843,0
